﻿Traitements par Motivation (Choses),,,,,,,,,,,
"Attributs
Motivations",,"Force & Autorité
Réussite & Guerre","Agilité & Nature
Liberté & Survie","Dextérité & Finance
Exploration & Artifice","Vigueur & Collectivité
Tolérance & Labeur","Empathie & Société
Générosité & Ornement","Perception & Instruction
Sécurité & Foi","Créativité & Propriété
Fondation & Rite","Volonté & Politique
Pouvoir & Sortilège","Attributs
Motivations",
,"(+)
3ème
Pentaine",L'Optimisation,L'Adaptibilité,L'Invocation,La Liaison,L'Émerveillement,L'Analyse,L'Innovation,La Précision,"(+)
3ème
Pentaine",
,,"Augmenter l’utilité d’un outil, d’une personne, d’un système, etc.",Changer son comportement ou ses méthodes à l’inverse afin de répondre à un changement.,Appeler à l’aide une entité ou une force par des moyens rituels pour obtenir une aide.,Connecter des personnes ou des idées à travers un événement social les familiarisants les uns des autres,Produire une œuvre qui captive et émerveille en par la révélation du beau au sein commun et banal,Comparer et mettre ensemble toute chose ou être qui autrefois ne l’était pas ou ne pouvait pas l’être,Introduire une technologie ou une méthode qui transforme radicalement l’approche précédente,Exécuter une tâche avec une exactitude extrême pour maximiser l’efficacité.,,
"(+)

3ème
H
É
L
I
O
R
É
E","(-)
1ère
Pentaine",L'Ingéniosité,La Résilience,L'Assujettissement,La Synergie,Le Façonnement,La Raison,La Solution,La Clarté,"(-)
1ère
Pentaine","(+)

3ème
H
É
L
I
O
R
É
E"
,,"Trouver une nouvelle méthode, approche, technique, etc.",Résister et récupérer rapidement après un revers ou un défi.,Imposer une volonté ou une règle à quelqu’un ou quelque chose pour le contrôler.,Combiner des talents ou des ressources pour amplifier le plaisir collectif.,Façonner une chose auparavant aforme ou indifférente en un un symbole faisant vivre une communauté.,Dialoguer ou faire valoir l’argument et la logique plutôt que l’expérience et l’apparence des choses,"Inventer une solution originale à un problème courant, en sortant des sentiers battus.",Simplifier une information complexe pour faciliter la compréhension.,,
,"(0)
2ème
Pentaine",La Maintenance,La Athlétisme,La Protection,La Transfiguration,L'Unité,La Transcendance,L'Intégration,L'Élegance,"(0)
2ème
Pentaine",
,,"Réparer ou empêcher la ruine d’un objet, d’une personne, d’un système, etc...",Améliorer sa capacité à accomplir des tâches sous pression ou dans des conditions difficiles.,"Créer ou utiliser un dispositif pour sauvegarder un lieu, un objet ou une personne.",Transformer radicalement un objet ou un espace pour susciter un  changement positif,Inspirer un groupe désordonné ou indifférent en une communauté unie par une vision les poussant à agir,Sacrifier une partie de soi afin de se distinguer du monde réel et lui devenenant de plus en plus étranger,Faire coexister harmonieusement plusieurs éléments ou idées disparates dans un nouveau cadre unifié.,Concevoir une solution simple qui résout le problème,,
,"(+)
3ème
Pentaine",La Durabilité,La Conservation,La Sorcellerie,L'Harmonie,Le Miracle,La Géométrie,L'Esthétique,La Symétrie,"(+)
3ème
Pentaine",
,,"Augmenter la qualité d’un outil, d’une personne, d’un système, etc.",Protéger et préserver les ressources pour une utilisation future.,Exécuter un sortilège pour modifier la réalité selon un désir spécifique.,Agencer les éléments d’un espace ou d’un groupe pour créer une coexistence paisible et agréable.,Mettre en scène voir réaliser un événement qui défie les lois naturelles et possibles et (re)donne de l’espoir,"Trouver un sens caché derrière la banal et le commun, voir l’unifier par des principes invisibles",Concevoir une œuvre ou un endroit qui est non seulement fonctionnel mais aussi visuellement impressionnant.,"Organiser des éléments de manière à refléter un(e) harmonie/équilibre, renforçant l’efficacité globale.",,
"... ________ ""C'est le BIEN !"" 
C'est l'Utile, C'est le Vertueux, C'est la Raison... C'est Ce qui POSSÈDE et DONNE de la Valeur au Monde.",,,,,,,,,,,
,,,,,,,,,,,
